id,name,category,price tier ,neighborhood,opening hour,closing hour,average rating,good for kids
1,Golden Dragon,Chinese,cheap,Hell's Kitchen,14:45,20:45,4.7,false
2,Panda Express,Chinese,cheap,Midtown East,10:15,22:30,1.5,false
3,Lucky Bamboo,Chinese,cheap,Little Brazil,17:45,23:15,1.4,false
4,Dragon Palace,Chinese,expensive,Midtown,15:30,23:30,1.8,true
5,Chopsticks Palace,Chinese,expensive,Diamond District,09:30,23:15,2.3,false
6,Great Wall,Chinese,cheap,Hell's Kitchen,14:45,23:15,3.6,false
7,Jade Garden,Chinese,expensive,Little Brazil,09:30,21:45,4.8,true
8,Red Lantern,Chinese,medium,Little Brazil,18:00,21:45,3.5,true
9,Fortune House,Chinese,medium,Diamond District,09:30,22:45,1.6,false
10,Dragon Wok,Chinese,cheap,Diamond District,13:00,21:30,3.9,false
11,Imperial Garden,Chinese,expensive,Garment District,15:30,22:30,1.0,false
12,China Garden,Chinese,cheap,Tudor City,16:15,22:00,2.5,false
13,Dynasty Buffet,Chinese,expensive,Garment District,16:15,23:30,4.4,true
14,Mandarin Palace,Chinese,medium,Koreatown,13:00,22:00,3.7,false
15,Dragon Pearl,Chinese,cheap,Columbus Circle,12:20,20:45,2.6,true
16,Lucky Star,Chinese,expensive,Midtown West,13:00,23:15,3.3,false
17,Peking Duck,Chinese,expensive,Tudor City,14:45,21:30,4.7,false
18,Golden Wok,Chinese,cheap,Turtle Bay,09:30,20:00,2.6,true
19,Lotus Blossom,Chinese,expensive,Hell's Kitchen,17:45,22:00,3.0,true
20,Chinatown Express,Chinese,cheap,Tenderloin,16:15,23:15,3.1,true
21,Jasmine Garden,Chinese,cheap,Midtown West,12:20,23:30,2.5,true
22,Phoenix Garden,Chinese,medium,Diamond District,18:00,20:45,2.7,true
23,Panda Garden,Chinese,expensive,Sutton Place,10:15,20:00,4.4,false
24,Dragon Inn,Chinese,medium,Sutton Place,15:30,22:45,3.7,true
25,China Star,Chinese,expensive,Sutton Place,13:00,22:45,3.5,false
26,Dynasty Palace,Chinese,medium,Herald Square,18:00,23:30,1.0,false
27,Golden Panda,Chinese,cheap,Tudor City,13:00,23:30,2.1,false
28,Lantern Garden,Chinese,cheap,Columbus Circle,15:30,21:30,3.7,true
29,Chopstick House,Chinese,medium,Herald Square,13:00,21:45,1.9,false
30,Peking House,Chinese,cheap,Columbus Circle,13:00,23:45,4.4,false
31,Dragon House,Chinese,expensive,Little Brazil,15:30,20:45,4.8,true
32,Imperial Wok,Chinese,medium,Little Brazil,12:20,21:30,2.4,true
33,Jade Dragon,Chinese,cheap,Diamond District,11:45,20:45,2.7,true
34,Red Dragon,Chinese,medium,Koreatown,13:00,21:45,3.8,true
35,Golden Phoenix,Chinese,cheap,Murray Hill,13:00,22:45,4.2,false
36,Lucky Dragon,Chinese,expensive,Madison Square,11:45,22:30,1.1,false
37,Panda Palace,Chinese,medium,Theater District,12:20,20:45,3.8,true
38,Dragon King,Chinese,cheap,Hell's Kitchen,17:45,21:45,4.1,true
39,China King,Chinese,expensive,Hell's Kitchen,17:45,22:45,1.8,true
40,Dynasty Dragon,Chinese,expensive,Little Brazil,18:00,22:45,3.9,false
41,Mandarin House,Chinese,medium,Herald Square,18:00,22:45,1.4,true
42,Dragon Garden,Chinese,cheap,Murray Hill,14:45,21:45,2.9,false
43,Lucky Dragon,Chinese,medium,Midtown West,15:30,23:30,4.9,true
44,Golden Dragonfly,Chinese,medium,Times Square,10:15,21:30,4.6,false
45,Chopstick Express,Chinese,medium,Turtle Bay,10:15,21:30,2.0,true
46,Peking Palace,Chinese,medium,Theater District,14:45,23:30,1.3,true
47,Dragon Buffet,Chinese,cheap,Midtown West,09:30,20:00,2.9,true
48,Imperial Palace,Chinese,cheap,Hudson Yards,13:00,20:45,3.5,true
49,Jade Palace,Chinese,expensive,Garment District,16:15,23:45,2.7,false
50,Red Panda,Chinese,expensive,Hell's Kitchen,11:45,22:00,2.0,true
51,Fortune Dragon,Chinese,expensive,Sutton Place,12:20,21:30,2.3,false
52,Dragon Dynasty,Chinese,cheap,Midtown West,09:30,23:15,4.4,false
53,Golden Dynasty,Chinese,cheap,Sutton Place,15:30,23:15,1.3,true
54,Lantern Palace,Chinese,cheap,Madison Square,17:45,21:30,3.6,false
55,Chinatown Garden,Chinese,cheap,Garment District,11:45,23:15,1.0,true
56,Jasmine Palace,Chinese,expensive,Midtown,13:00,22:30,4.4,true
57,Phoenix Palace,Chinese,cheap,Garment District,16:15,21:30,4.6,false
58,Panda Buffet,Chinese,cheap,Koreatown,17:45,21:30,5.0,false
59,Dragon Buffet,Chinese,cheap,Hell's Kitchen,15:30,23:45,1.2,false
60,China Buffet,Chinese,cheap,Little Brazil,09:30,23:30,2.3,false
61,Dynasty Buffet,Chinese,cheap,Garment District,15:30,22:45,4.2,true
62,Mandarin Buffet,Chinese,expensive,Madison Square,13:00,22:00,3.7,true
63,Dragon Buffet,Chinese,medium,Midtown,17:45,22:45,1.5,false
64,Lucky Buffet,Chinese,expensive,Hudson Yards,12:20,23:30,4.4,false
65,Golden Buffet,Chinese,medium,Turtle Bay,10:15,23:30,5.0,true
66,Chopstick Buffet,Chinese,expensive,Garment District,18:00,22:30,3.5,false
67,Peking Buffet,Chinese,expensive,Theater District,17:45,23:15,1.9,true
68,Imperial Buffet,Chinese,expensive,Koreatown,14:45,23:15,1.4,false
69,Jade Buffet,Chinese,cheap,Turtle Bay,10:15,23:45,1.0,true
70,Red Buffet,Chinese,cheap,Columbus Circle,10:15,22:30,4.1,true
71,Fortune Buffet,Chinese,cheap,Madison Square,15:30,21:30,1.3,true
72,Dragon Buffet,Chinese,medium,Columbus Circle,10:15,21:30,2.7,true
73,China Buffet,Chinese,medium,Hudson Yards,15:30,20:45,2.2,true
74,Dynasty Buffet,Chinese,cheap,Garment District,16:15,21:45,5.0,false
